Plant,Date,Non- Compliance Group,Species,Type,Compliance Level,Non Compliance,Description,Action
[Plant Name & Number],03/10/2016,Lairage operation,Poultry: Poultry,Written procedures available and implemented for protecting animal welfare,3,Other,Minor amendments required in SOPs with regards to description of corrective actions to be taken.,ENF verbal advice
[Plant Name & Number],04/10/2016,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Accuracy,3,Not Applicable,"Welfare notice served, since there is no head restraint and there could be a risk of misdirecting the shots.
The advisory letter has been served and extended and the WEN has been served on 30/09/16.
No welfare issues observed in the period.",ENF Welfare Enforcement Notice
[Plant Name & Number],04/10/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,2 Fully developed calves at PMI from same keeper 98cm and 78cm crown-rump lenght,TS-Trading Standards informed
[Plant Name & Number],04/10/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,Fully developed calf at PMI 82cm crown-rump length,TS-Trading Standards informed
[Plant Name & Number],04/10/2016,Lairage design and maintenance,Red Meat: Cattle,Lighting suitable for inspections,3,Lighting not suitable for inspections,None of the lights above the pens were working. Operators unable to carry out welfare assessment. OV unable to do proper AMI,ENF verbal advice
[Plant Name & Number],04/10/2016,Lairage operation,Red Meat: Cattle,Provision of water to all livestock,3,Water not provided,Water container leaking action taken,ENF verbal advice
[Plant Name & Number],05/10/2016,Stunning / killing,Red Meat: Sheep,Animal welfare officer’s checks and actions,3,No records for welfare checks available,No records of the checking of animals during lairage,ENF verbal advice
[Plant Name & Number],05/10/2016,Captive bolt/concussio n/free bullet,Red Meat: Sheep,Maintenance of guns,3,No evidence for maintenance of guns,no records of the maintenance of the guns,ENF verbal advice
[Plant Name & Number],05/10/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Ingrown horn/s,,APHA-Animal Health Office informed
[Plant Name & Number],10/10/2016,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Other,Large calf 90cm,TS-Trading Standards informed
[Plant Name & Number],10/10/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Bruised,Severe bruising with lesions in thorax,APHA-Animal Health Office informed
[Plant Name & Number],12/10/2016,Lairage design and maintenance,Red Meat: Cattle,Maintenance of the lairage,3,Different maintenance problems,"Cattle got his head stuck on the race, as the piece of plastic which prevent the animals to put their heads underneath the fence fall off",ENF verbal advice
[Plant Name & Number],12/10/2016,Lairage operation,Red Meat: Cattle,Provision of bedding,3,Insufficient bedding,,ENF verbal advice
[Plant Name & Number],12/10/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,"Foot rot. Animal was shot immediately by FBO in 11th October 2016, after BA hours, without AMI.",APHA-Animal Health Office informed
[Plant Name & Number],17/10/2016,Stunning / killing,Red Meat: Sheep,Appropriate number of licensed slaughterers for all species,3,Slaughterers not licensed,OPERATIVE NOT LICENSED TO STUN AND SHACKLE THE SHEEP,ENF verbal advice
[Plant Name & Number],17/10/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Other,Bovine not weight bearing on all 4 legs; going down on knees and difficulty rising,TS-Trading Standards informed
[Plant Name & Number],17/10/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Last stages of pregnancy,"Foetus measures: FOETUS SEX: FEMALE LENGTH:   92 cm.
WEIGHT: 33 kg. CORONARY ARC: 17cm.
Gestation period for CHAROLAIS: 289.
According with the measured the fetal age of this calf was 263,1 days.
Gestation period completed on this case: 91,0%.",TS-Trading Standards informed
[Plant Name & Number],17/10/2016,Lairage design and maintenance,Red Meat: Cattle,Protection from adverse weather conditions,3,Animals not protected from adverse weather conditions,"1 panel missing from the lairage roof, above a pen 4.",ENF verbal advice
[Plant Name & Number],17/10/2016,Lairage operation,Red Meat: Pigs,Provision of water to all livestock,4,Water not provided,3 pigs in a pen without water: arrived yesterday. no time to investigate today as OV only,ENF written advice
[Plant Name & Number],17/10/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Poor animals/ suspect emaciation,Last stage of pregnancy,TS-Trading Standards informed
[Plant Name & Number],19/10/2016,Handling and restraint,Red Meat: Cattle,Handling within the lairage,3,Not Applicable,FBO tied an animal by the horns with a rope.,ENF verbal advice
[Plant Name & Number],19/10/2016,Lairage operation,Red Meat: Cattle,Management of lairage,3,Pens overcrowded,calf mixed with 12 adult cattle due full lairage,ENF verbal advice
[Plant Name & Number],19/10/2016,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,4,Bruising,carcase badly bruised on both sides and front legs,TS-Trading Standards informed
[Plant Name & Number],20/10/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Last stages of pregnancy,"On 20th October 2016 at ante mortem inspection [ID Number], Charolais X, was found on the last stage of pregnancy, with clear sign of it as swelling of vulva lips and vaginal area.  From [Name & Address]Foetus measures: FOETUS SEX: MALELENGTH:   93 cm.WEIGHT: 43 kg.        CORONARY ARC: 19cm. Gestation period for CHAROLAIS: 289. According with the measured the fetal age of this calf was 264,5 days. Gestation period completed on this case: 91,50%.",TS-Trading Standards informed
[Plant Name & Number],20/10/2016,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Effectiveness,3,Multiple stuns,,None Applicable
[Plant Name & Number],20/10/2016,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Effectiveness,4,Ineffective stun/signs of recovery after stunning,After 3 shots animal shows signs of consciousness,ENF written advice
[Plant Name & Number],20/10/2016,Lairage operation,Red Meat: Cattle,Procedures for protecting animal welfare,3,Other,Animal unable to walk in lairage. FBO took immediately action.,None Applicable
[Plant Name & Number],21/10/2016,Post-mortem findings,Red Meat: Sheep,Post-mortem findings,3,Fractures,Old fracture in the front leg was found with a plastic and insulating tape to reducer the fracture. It was probably done by the farmer.,APHA-Animal Health Office informed
[Plant Name & Number],21/10/2016,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Other,Large calf (95cm),TS-Trading Standards informed
[Plant Name & Number],24/10/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Last stages of pregnancy,Bovine female found at AMI with a new born calf.,TS-Trading Standards informed
[Plant Name & Number],24/10/2016,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Effectiveness,4,Ineffective stun/signs of recovery after stunning,"Bovine animal was stunned with first shoot then after being stick started to breath rhythmically, backup stunning gun misfire 5 times. Beast effectively stunned with the first gun.",ENF Referral for investigation
[Plant Name & Number],24/10/2016,Bleeding,Red Meat: Cattle,Stun to bleeding time,3,Stun to bleed time too long,"Stun to bleed time 73 sec, no signs of recovery observed",ENF verbal advice
[Plant Name & Number],25/10/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,Old trauma in eyelid with mucopurulent discharge,APHA-Animal Health Office informed
[Plant Name & Number],26/10/2016,Lairage operation,Red Meat: Cattle,Animal welfare officer’s checks and actions,3,Not Applicable,"Further development is required on the SOP to include the provision of water, feed as well as frequencies of checks",ENF verbal advice
[Plant Name & Number],26/10/2016,Lairage design and maintenance,Red Meat: Cattle,Maintenance of the lairage,3,Different maintenance problems,race as one of the bars from the fence fall off and the animal required to be put back into the race,ENF verbal advice
[Plant Name & Number],28/10/2016,On farm welfare,Red Meat: Sheep,Welfare on farm,4,Other,Four sheep presenting foot-root lesions non- weight bearing on one leg.,APHA-Animal Health Office informed
[Plant Name & Number],31/10/2016,On farm welfare,Poultry: Poultry,Catching damage,4,Trapped limbs/heads,"5 birds trapped, 2 of them still alive. FBO did not do welfare checks early in the morning.",APHA-Animal Health Office informed
[Plant Name & Number],31/10/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"incalf beast 91cm,37kg",TS-Trading Standards informed
[Plant Name & Number],31/10/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Not Applicable,,None Applicable
[Plant Name & Number],02/11/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Injured animals,"[ID Number] - One animal down in lorry with splits/ruptured Achilles Tendon. Animal immediately stunned and bled in lorry. Transporter: [Name]
Farm of origin: [Address & ID Number]",TS-Trading Standards informed
[Plant Name & Number],02/11/2016,Lairage design and maintenance,Red Meat: Cattle,Ventilation of the lairage,3,Insufficient ventilation of the lairage,Build up of ammonia,Other
[Plant Name & Number],03/11/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"[ID Number] Was found on the last stage of pregnancy at PMI, [Name & ID Number].Foetus measures: FOETUS SEX: MALELENGTH:   91 cm.WEIGHT: 33 kg.        CORONARY ARC: 17cm.
Gestation period for ABERDEEN ANGUX: 289. According with the measured the fetal age of this calf was 258,7 days. Gestation period completed on this case: 92,0%.",TS-Trading Standards informed
[Plant Name & Number],03/11/2016,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Effectiveness,4,Multiple stuns,Cattle with kill number 43 required 4 shots to be stunned  prior to bleeding. Investigation showed that escalation of the enforcement was not necessary,ENF verbal advice
[Plant Name & Number],03/11/2016,Lairage design and maintenance,Red Meat: Cattle,Maintenance of the lairage,3,Different maintenance problems,Damage to cattle raceway potential risk of injury due sharp edges on damaged sections.,ENF verbal advice
[Plant Name & Number],03/11/2016,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Other,Large calf 80cm,TS-Trading Standards informed
[Plant Name & Number],03/11/2016,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Fractures,Some animals have their shins broken during shackling (after stunning) due to staff practices.,ENF written advice
[Plant Name & Number],03/11/2016,Lairage operation,Red Meat: Cattle,Procedures for protecting animal welfare,3,Horned cattle not separated,"3 highland cattle came on the lorry separately, lariage operative didn't separate them from unhorned animals put them in the same pen. After my intervention animals were separated.",ENF verbal advice
[Plant Name & Number],03/11/2016,Lairage design and maintenance,Red Meat: Cattle,Ventilation of the lairage,3,Insufficient ventilation of the lairage,Build up of amonia,ENF verbal advice
[Plant Name & Number],03/11/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,"[ID Number] Was found on the last stage of pregnancy at PMI, [Name & ID Number]
Foetus measures: FOETUS SEX: MALE LENGTH:   91 cm.
WEIGHT: 33 kg. CORONARY ARC: 17cm.
Gestation period for ABERDEEN ANGUX: 289.
According with the measured the fetal age of this calf was 258,7 days.
Gestation period completed on this case: 92,0%.",APHA-Animal Health Office informed
[Plant Name & Number],04/11/2016,Handling and restraint,Red Meat: Cattle,Handling in race to stun pen,3,Other,"Too many animals in the race, lariage operative had put 4 bovine animals instead of 3. Overcrowded. Lariage operative to check with stunning operative how many animals can be placed in the race.",ENF verbal advice
[Plant Name & Number],04/11/2016,Lairage design and maintenance,Red Meat: Cattle,Maintenance of the lairage,3,Different maintenance problems,Damaged raceway risking injury,ENF verbal advice
[Plant Name & Number],08/11/2016,Captive bolt/concussio n/free bullet,Red Meat: Sheep,Effectiveness,4,Ineffective stun/signs of recovery after stunning,"A sheep recovering from stunning, no bleeding performed.",ENF written advice
[Plant Name & Number],08/11/2016,Lairage operation,Red Meat: Cattle,Provision of water to all livestock,3,Water not provided,Limited access to water in one livestock pen,ENF verbal advice
[Plant Name & Number],08/11/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Poor animals/ suspect emaciation,Jersey cow difficulty rising at 10:30 shot in lairage rejected as fallen stock by FBO,TS-Trading Standards informed
[Plant Name & Number],09/11/2016,Welfare on transport,Red Meat: Sheep,Condition of the animals at unloading,4,Other,One sheep found DOA at unloading,TS-Trading Standards informed
[Plant Name & Number],09/11/2016,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Effectiveness,4,Ineffective stun/signs of recovery after stunning,Animal showing signs of recovery,ENF written advice
[Plant Name & Number],09/11/2016,Stunning / killing,Poultry: Poultry,Hang-on and emergency procedures & practices,4,Poor shackling of birds,numerous conscious birds hung by 1 leg only opposed to be shackled by both legs,ENF written advice
[Plant Name & Number],09/11/2016,On farm welfare,Red Meat: Sheep,Welfare on farm,4,Wounds,Severe neck wounds from a recent attack by a stray dog.,APHA-Animal Health Office informed
[Plant Name & Number],10/11/2016,Lairage operation,Red Meat: Cattle,Animal welfare officer’s checks and actions,3,No records for welfare checks available,Animal Welfare Sop procedure not fully implemented (no designated operator is named at animals intake record),ENF verbal advice
[Plant Name & Number],10/11/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"Bovine calf discovered during uterus inspection: CRL 94 cm, eye lashes, ""golden slippers"", erupted 2 incisors. Estimate pregnancy 287 days.",APHA-Animal Health Office informed
[Plant Name & Number],10/11/2016,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Other,Large calf 70cm,TS-Trading Standards informed
[Plant Name & Number],10/11/2016,Stunning / killing,Red Meat: Cattle,Standard operating procedures,3,Inadequate sops for stunning/killin g,"Animal Welfare SOP not fully reflecting the legislative requirements
– key parameters for each stunning method not fully detailed in the SOP,",ENF verbal advice
[Plant Name & Number],11/11/2016,Stunning / killing,Red Meat: Cattle,Animal welfare officer’s checks and actions,3,No records for welfare checks available,Monitoring procedures for stunning do not include comments on signs of unconsciousness or consciousness and frequency of checks.,ENF verbal advice
[Plant Name & Number],11/11/2016,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Effectiveness,4,Ineffective stun/signs of recovery after stunning,Ineffective stunning of water buffalo- 3 shoots needed to achieve effective stunning,ENF written advice
[Plant Name & Number],11/11/2016,Lairage design and maintenance,Red Meat: Cattle,Maintenance of the lairage,3,Different maintenance problems,"Fences on the cattle pen 1 and 4 need to be repaired as the pool that fix them to the floor is corroded and the fences fell off.
Despite no welfare incident has been recorded, there is a risk for the animals to get injured due to the presence of sharp edges.",ENF verbal advice
[Plant Name & Number],14/11/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"Bovine animal transported in last 10 % of pregnancy. CRL 89 cm, eye lashes, golden slippers, 2 incisors erupted. Estimate days of pregnancy 275.",APHA-Animal Health Office informed
[Plant Name & Number],15/11/2016,On farm welfare,Red Meat: Sheep,Welfare on farm,4,Other,"severe, non-weight-bearing lameness of the left hind limb due to infection",TS-Trading Standards informed
[Plant Name & Number],15/11/2016,On farm welfare,Red Meat: Sheep,Welfare on farm,3,Other,6 sheep presented at AMI with scab looking like lesions,APHA-Animal Health Office informed
[Plant Name & Number],16/11/2016,Lairage design and maintenance,Red Meat: Cattle,Maintenance of the lairage,3,Different maintenance problems,"Fences on the cattle pen 1 and 4 need to be repaired as the pool that fix them to the floor is corroded and the fences fell off.
Despite no welfare incident has been recorded, there is a risk for the animals to get injured due to the presence of sharp edges.",ENF verbal advice
[Plant Name & Number],16/11/2016,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Other,Large calf ~70 cm,TS-Trading Standards informed
[Plant Name & Number],18/11/2016,Welfare on transport,Red Meat: Sheep,Condition of the animals at unloading,4,Other,DOA sheep found during unloading,TS-Trading Standards informed
[Plant Name & Number],18/11/2016,Lairage design and maintenance,Red Meat: Cattle,Maintenance of lairage,3,Other,Gates on cattle pens not secure allowing a bovine animal to escape overnight. This presents a health and safety issue for all staff entering lairage early morning,ENF verbal advice
[Plant Name & Number],18/11/2016,On farm welfare,Red Meat: Sheep,Welfare on farm,4,Ingrown horn/s,Lamb found at AMI with ingrown horn on left side,APHA-Animal Health Office informed
[Plant Name & Number],18/11/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,Cow in late stages of pregnancy,APHA-Animal Health Office informed
[Plant Name & Number],20/11/2016,Lairage operation,Poultry: Poultry,Written procedures available and implemented for protecting animal welfare,3,Other,SOP not including actions when major breakdown occurs - resulting in leaving birds over 12 hours,None Applicable
[Plant Name & Number],21/11/2016,Welfare on transport,Red Meat: Sheep,Condition of the animals at unloading,4,Other,Dead on arrival (DOA). One sheep DOA from a batch of 275.,TS-Trading Standards informed
[Plant Name & Number],21/11/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Injured animals,[ID Number] was found unable to stand up with a swelling area on its left tarsal joint.,TS-Trading Standards informed
[Plant Name & Number],22/11/2016,Lairage design and maintenance,Red Meat: Pigs,Protection from adverse weather conditions,3,Animals not protected from adverse weather conditions,""" small piglets left overnight found shivering with cold in the morning in pen 5.
there was no animal suffering but animal  discomfort could have been prevented by killing them the same day or using some bedding or fixing the draft in pen 5.",ENF verbal advice
[Plant Name & Number],22/11/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Bruised,One heavily bruised cattle identified during PMI: bruised left flank,APHA-Animal Health Office informed
[Plant Name & Number],23/11/2016,Stunning / killing,Red Meat: Cattle,Animal Welfare Officer's checks and actions,3,Other,Welfare records for stunning checks on sheep and cattle not up to date.,ENF verbal advice
[Plant Name & Number],23/11/2016,Lairage design and maintenance,Poultry: Poultry,Protection from adverse weather conditions/ thermal stress/ injury,3,Poor Lairage maintenance,there is a gap between the walls in the lairage. This gap is big enough to allow escaped birds during shackling operation ( before they are captured and shackled) to put the head through it.,ENF verbal advice
[Plant Name & Number],24/11/2016,Welfare on transport,Red Meat: Sheep,Condition of the animals at unloading,4,Other,DOA 1 sheep from a batch of 287 from [Name] was found death during the unloading.  [Name],TS-Trading Standards informed
[Plant Name & Number],24/11/2016,Lairage operation,Red Meat: Cattle,Provision of bedding,3,Insufficient bedding,,ENF verbal advice
[Plant Name & Number],24/11/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Wounds,DEEP OLD WOUND NOT TREATED NOT MENTIONED ON FCI,TS-Trading Standards informed
[Plant Name & Number],25/11/2016,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Effectiveness,4,Multiple stuns,1 cattle required to be shot 3 times . Enforcement has not been escalated as per the advice of the AVM and VM. Cattle with kill number [Number] required to be shot 3 times. This incident has happened during the assessment of [Name],ENF verbal advice
[Plant Name & Number],28/11/2016,Stunning / killing,Poultry: Poultry,Animal welfare officer’s checks and actions,3,Not Applicable,Side wall in lairage next to the door needs maintenance work as there is a gap which allows birds to put head through. This has not been identified through monitoring checks.,ENF verbal advice
[Plant Name & Number],28/11/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"During PMI one female calf discovered measuring CRL 82 cm, eyelashes present, ""golden slippers"", 2 incisors erupted. Estimated pregnancy 256 days. On the verge of last 10% of pregnancy.",APHA-Animal Health Office informed
[Plant Name & Number],28/11/2016,Lairage operation,Red Meat: Cattle,Procedures for protecting animal welfare,3,Other,Horned animal trapped in lairage pen verbal advice Humane slaughter and transfer to slaughter line Advise action to prevent further incidents,ENF verbal advice
[Plant Name & Number],28/11/2016,Lairage design and maintenance,Poultry: Poultry,Protection from adverse weather conditions/ thermal stress/ injury,3,Escaped birds,"Escaped birds left unattended. No welfare compromised at the time, however FBO failed to react prompt.",ENF verbal advice
[Plant Name & Number],28/11/2016,Handling and restraint,Red Meat: Sheep,Restraint,3,Other,Operator handling and restraining sheep without licence,ENF written advice
[Plant Name & Number],29/11/2016,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Effectiveness,4,Ineffective stun/signs of recovery after stunning,Animal required to be shot 7 times. Cattle with kill number 42 required to be shot 7 times due to the wrong positioning of the captive bolt gun,ENF Welfare Enforcement Notice
[Plant Name & Number],29/11/2016,Lairage operation,Red Meat: Pigs,Procedures for protecting animal welfare,3,Other,"Increased amount of scratch?fight wounds for the pigs from [Name] that are left overnight.
Spoke to [Name] the farmer and he is admitted he mixes the batches for the uploading but there is nothing to prevent that and the FBO should try to get all them kill the same day for that reason.",ENF verbal advice
[Plant Name & Number],29/11/2016,Stunning / killing,Poultry: Poultry,Standard operating procedures,3,Other,gas CO2 alarm SOP not being followed by lairage operative in charge,ENF verbal advice
[Plant Name & Number],29/11/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Overgrown hoof,"One cattle with overgrown hind hoofs, animal lame. Lameness score 2.",APHA-Animal Health Office informed
[Plant Name & Number],30/11/2016,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Accuracy,4,Inaccurate stun,Bovine head with 3 shot in inappropriate position. Head restrain not working properly.,ENF written advice
[Plant Name & Number],30/11/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Injured animals,"The animal has been  loaded and unloaded  2 times in 3 days with an injury:  it should have been sent streight to the abbattoir  to avoide  any  pain  related to these operations
The animal has slightly lame in front leg due arthritis. I received an FCI with a vet declaration  that shows it has been checked in [Name]   by a vet on the 22/11/16. The animal has not been sent straight to the abattoir, as it arrived only today (30/11/16) in [Name & ID Number] .  Passport's movement records :on the 28/11/16 from [Name] to [Name].",TS-Trading Standards informed
[Plant Name & Number],01/12/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Injured animals,"2 recumbent bovine animals found during AMI, animals were lying on the lorry. Clear signs of suffering. Suspect back injury.",TS-Trading Standards informed
[Plant Name & Number],04/12/2016,On farm welfare,Poultry: Poultry,Welfare on farm,3,Foot Pad Dermatitis,"Today during post-mortem inspection it was noticed that the birds belonging to the [Name] had high levels of FPD Score 2. The findings showed that from an average of a hundred birds:  -10 out of 100 Score 0.  -10 out of 100 Score 1.  -80 out of 100 Score 2 triggering a total of 165 points on the Swedish Score.  It was also noticeable the severity of the hock burns presented in most cases along with the FPD.  Video and pictures of footpads from several animals were taken and retained freezed as evidence in case required. In addition to this, scanned copies of Quality Control team recording sheets for all the houses processed from this farm were taken for an overall view.",APHA-Animal Health Office informed
[Plant Name & Number],05/12/2016,Handling and restraint,Red Meat: Pigs,Handling in race to stun pen,4,Other,Pig crashed by the automatic gate,ENF written advice
[Plant Name & Number],06/12/2016,Captive bolt/concussio n/free bullet,Red Meat: Cattle,Effectiveness,4,Ineffective stun/signs of recovery after stunning,CATTLE RE-STUNNED AFTER OV'S INTERVENTION. BOTH SHOTS ACCURATELY. STAFF DID NOT IDENTIFY SIGNS OF RECOVERY,ENF written advice
[Plant Name & Number],07/12/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Injured animals,[ID Number] arrived with a big trauma on the nose area leaving the bones and cavity exposed. No signs of fresh blood.,TS-Trading Standards informed
[Plant Name & Number],07/12/2016,Lairage operation,Red Meat: Cattle,Provision of water to all livestock,3,Other,water frozen in one of the pens.,ENF verbal advice
[Plant Name & Number],07/12/2016,On farm welfare,Red Meat: Sheep,Welfare on farm,3,Other,Suspect Sheep scab case,APHA-Animal Health Office informed
[Plant Name & Number],07/12/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Wounds,[ID Number] arrived with a big trauma on the nose area leaving the bones and cavity exposed. No signs of fresh blood.,APHA-Animal Health Office informed
[Plant Name & Number],08/12/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,4,Injured animals,"[ID Number] a Male, Salers, from [Name & ID Number] was found with a swelling lession area on the left cheek during download for AMI. No additional Food Chain Information or Veterinary certificate was provided.
Transporter by [Name], vehicle No: [Registration] Driver [Name].",TS-Trading Standards informed
[Plant Name & Number],08/12/2016,Lairage operation,Red Meat: Cattle,Procedures for protecting animal welfare,3,Other,Animal density not respected as per SOP.not signes of animal suffering or distress observed,ENF verbal advice
[Plant Name & Number],08/12/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Wounds,"[ID Number] a Male, Salers, from [Name & ID Number] was found with a swelling lession area on the left cheek during download for AMI. No additional Food Chain Information or Veterinary certificate was provided.
Transporter by [Name], vehicle No: [Registration] Driver [Name].",APHA-Animal Health Office informed
[Plant Name & Number],09/12/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Poor animals/ suspect emaciation,Cast cows in poor condition with generalised lesions at pm,APHA-Animal Health Office informed
[Plant Name & Number],12/12/2016,On farm welfare,Red Meat: Sheep,Welfare on farm,3,Other,Suspect sheep scab lesions,APHA-Animal Health Office informed
[Plant Name & Number],14/12/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Weak animals,Out of hours emergency slaughter,TS-Trading Standards informed
[Plant Name & Number],14/12/2016,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Not Applicable,"One calf  found at post mortem inspection, kill no 24",APHA-Animal Health Office informed
[Plant Name & Number],14/12/2016,Post-mortem findings,Red Meat: Cattle,Post-mortem findings,3,Not Applicable,"Twins found at post mortem inspection, kill no 50",APHA-Animal Health Office informed
[Plant Name & Number],14/12/2016,On farm welfare,Red Meat: Sheep,Welfare on farm,4,Ingrown horn/s,Horn grown into and penetrating eye socket,APHA-Animal Health Office informed
[Plant Name & Number],15/12/2016,Welfare on transport,Red Meat: Cattle,Condition of the animals at unloading,3,Last stages of pregnancy,"Fully developed calf at PMI.
Foetus lenght c-r 104 cm, coronary band 18 cm",TS-Trading Standards informed
[Plant Name & Number],15/12/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Poor animals/ suspect emaciation,"On Thursday 15.12.16 at around 11:45. During AMI an animal was identified within a load of 20 animals in poor condition scoring 1/5. It presented a deep pelvic cavity with no fatty tissue under the skin, the spine was extremely prominent and spinal processes sharp, otherwise the animal seemed to be alert and aware of the surroundings not showing sings of severe distress. No additional information was provided on the FCI for this animal. Although at PMI the carcass was found fit for HC, it was evident the low quality of the carcass and the leanness of its tissues. In my opinion animals should meet a minimum standard when reared and be sent to slaughter in a suitable condition and the producers should monitor their cattle herds adjusting their nutritional needs to meet the changing needs throughout the year. Pictures were taken as evidence.",APHA-Animal Health Office informed
[Plant Name & Number],15/12/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Other,Severe post mortem lesions,APHA-Animal Health Office informed
[Plant Name & Number],15/12/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Wounds,"One bovine [ID Number] with necrotic, open wound on spine in sacral area. Wound approx. 12 - 15 cm long, 1-2 cm wide and 1-2 cm deep. Sero-gelatinous exsudate, grey discolouration of affected tissue, swelling of surrounding, hairless tissue. Contacted Farmer [Name & ID Number]. Farmer unaware of wound. Contacted APHA/LA [Name] who inspected the live animal. Photograhic evidence of live animal in lairage/ in crush and at PMI taken.",APHA-Animal Health Office informed
[Plant Name & Number],15/12/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,4,Ingrown horn/s,One bovine animal identified during ante mortem inspection with ingrown horns. The horns were penetrating thru the skin and soft tissues. Animal suffered for a long period of time.,APHA-Animal Health Office informed
[Plant Name & Number],19/12/2016,Stunning / killing,Poultry: Poultry,Pre-stun shock,4,Pre-stun shock,Some of the large cockerels observed receiving pre-stun shocks due to their large size.,ENF written advice
[Plant Name & Number],19/12/2016,On farm welfare,Red Meat: Cattle,Welfare on farm,3,Poor animals/ suspect emaciation,Emaciated animal with respiratory signs.,APHA-Animal Health Office informed
[Plant Name & Number],19/12/2016,On farm welfare,Red Meat: Sheep,Welfare on farm,4,Other,"AMI ovine found with foot-rot - right front leg, ovine not bearing weight on it",APHA-Animal Health Office informed
[Plant Name & Number],20/12/2016,Stunning / killing,Poultry: Poultry,Standard operating procedures,3,Inadequate sops for stunning/killin g,current SOP do not include yet  description of the stunning of the cockerels with hand held stunner instead of electric water bath,ENF verbal advice
[Plant Name & Number],20/12/2016,On farm welfare,Red Meat: Sheep,Welfare on farm,4,Other,"one sheep with severe, non weight-bearing lameness on the left front limb. The animal was killed by the operatives the day of arrival (19/12) because of welfare concerns.",TS-Trading Standards informed
[Plant Name & Number],28/12/2016,Welfare on transport,Red Meat: Sheep,Condition of the animals at unloading,4,Other,One sheep found DOA during the night,TS-Trading Standards informed
[Plant Name & Number],28/12/2016,Handling and restraint,Red Meat: Sheep,Restraint,3,Other,"FBO staff handling and restraining sheep without appropriate Certificate of Competence
no suffering/ pain involved",ENF written advice
